id,split,english,luganda,runyankore_rukiga,acholi,ateso,lugbara
SALT-TEST-0001,test,The fashion industry is starting to thrive again.,Ekisaawe ky'emisono kitandise okusituka nate.,Eby'eby'afaashoni biriyo nibigaruza akatwe.,Yub me cital ruk mapatpat manyen tye ka dongo odoco doki.,Ageutu ikampunin luka enape apolo bobo.,Okalamvu suta o'diru 'diyini 'diyi 'ye e'do tutu
SALT-TEST-0002,test,An epidemic is a disease that affects a large number of people within a community.,Endwadde ebalukawo y'endwadde ekosa abantu abangi mu kitundu.,Omuzibwe n'endwara erikukwata abantu baingi omu kyanga.,Can mogo obedo two ma nya oyot totwal ikin dano,Erai adeka na ikamuni itunga luipu kotoma atutubet.,Azo omvele epidemiki ruri eri azo azi 'ba kalafe karakara ni eyi 'yepi ongulumu ma alea ri i
SALT-TEST-0003,test,Good quality honey will come from this region.,Omubisi gw'enjuki ogw'omutindo omulungi guva mu kino ekitundu.,"Obwoki burungi, nibwija kuruga omukyanga eki.",Moo kic me rwom ma malo obi aa ki kany,Esike lo ejok ebuni kosiep kalo.,Anyu su wura muke ndeni ri ni nga enga angu 'di ma alea
SALT-TEST-0004,test,She was riding the bicycle while I was running.,Yabadde avuga ggaali nga nze bwe nziruka.,Akaba akwise naavuga egaaro obwo nyowe ndikwiruka.,Nyakoni obedo ka ngwec ki lela ci an abedo ka ngwec ki tyena.,Auta ngesi aicak egali kauta eong akerit.,Eri ri nzu garisi de ari madririsi nzu nzu
SALT-TEST-0005,test,The authorities are looking for two young men who robbed a supermarket.,Ab'obuyinza banoonya abavubuka babiri ababba mu ssemaduuka.,Aby'obushoboorozi nibahhiga bundi nuuma abastigazi enkwata-buta abaayeyereire akatare k'omu nju,Luloc gitye ka yenyo co aryo ma guyako cupa maket.,Eutasi ipolisin aimo itelepai iarei luabilete ka akoko eiduka lokapolon.,Ba okpoe'ipiru 'diyi anzi ode iri afa ogupi dukani supermarketruri ma alia 'diyi ndaria.
SALT-TEST-0006,test,The government provided tractors to the farmers.,Gavumenti yawa abalimi ttulakita.,Gavumenti ekaha abahingi ebyoma by'okuhingisa.,Gamente omiyo tinga tinga bot lupur,Abu apugan ijaik akoriok aturakitan.,Gamete fe truakita eyi 'ba amvu 'ya'ba 'diyi dri
SALT-TEST-0007,test,"As windshield wiper blades age, they lose much of their flexibility.","Wayipa bwe zigenda zikaddiwa, zirekera awo okukola obulungi.",Obusimura bwebirahuri bwakura niburekyeeraho kwehinduura kurungi.,"Calo ma laduny wang maraya me wang motoka obutii, pe gicako wot maber ki I wang maraya enoni.","Nemojongiata aipuseta ngu, mam bobo kesi irimete ejok.","Wipa mara oli atripiriniri ma si ka de 'bo, yi okpo yini azi ngazu mbele mbelri avi ra"
SALT-TEST-0008,test,Parliament approved all the ministers appointed by the president.,Palamenti yakakasa baminisita bonna pulezidenti be yalonda.,Eishengyero rikaikiriza ba minisita boona abaaronzirwe purezidenti.,Ot moko cik ocwako minicta manyen ma ladit lobo ocimo weng.,Abu airabet kocam iminisitan kere luabu lokapolon akwap koseu.,Koloseni a'I 'ba dria drile kari niri ni opele 'diyi ra
SALT-TEST-0009,test,She was promoted at her workplace.,Yakuzibwa ku mulimu.,Bakamukuza aha murimo.,Kimedo rwom ne I dog ticce.,Aponi kitopolorai ngesi kotoma aibositike naka aswam.,Ba otuu eri pari erini azi ngazu ria ra
SALT-TEST-0010,test,I track my stock levels all the time.,Mmanya ebintu bye nnina buli kiseera.,Nindeebuuza orurengo rw'ebintu byangye obwire bwona.,Alubu wel jami me acata ma atye kwede I kare weng.,Etapit eong aipikanakin iboro luemamete oidukaka.,Ma afa mani ozile 'diyi ma ozita vuti o'bi sawa driasi
SALT-TEST-0011,test,Factories with more than ten employees are thinking of laying off workers.,Amakolero agalina abakozi abasukka mu kkumi galowooza kusalako bakozi.,"Amakorero againe abakozi abarikuhingura ahari ikumi, nibateekateeka okushara aha bakozi baabo.",Factori mapol matye ki lutic makato apar tye katamo kit me juko gi idogtic,Icuman lu ejatatar keda eswamak lu edeparitos itomon ejaas aomoom nu alemanar eswamak icie.,Okalamvu yi vile aziꞌba yi ma kalafeni mudrini agazu ra ꞌdiyi eꞌyo ega aziꞌba yi ofuzu
SALT-TEST-0012,test,Police charge a criminal by the law.,Poliisi evunaana omumenyi w'amateeka mu mateeka.,Poriisi nejunaana omukozi w'ebihagaro erikwejunisa ebiragiro.,abili gimako labal malube ki cik,Apotu ipolisin itepesenata adiakaran kokisila.,Polisi eyi panga fe 'ba e'yo ezapi 'diyini azita palaa
SALT-TEST-0013,test,Some cases linked to people from the Democratic Republic of Congo have been recorded in Uganda.,Abalwadde abamu abalina akakwate ku Democratic Republic of Congo babaliddwa mu Uganda.,Abantu abarikuteekateekwa kuruga omuri Kongo bashangirwe omuri Uganda baine oburweire.,Kitiko nongo lutwo ne mukene makubbe ki dano me Democratic Republic of Congo I lobo Uganda.,Itunga luedumunitai adeka naka Ebola ko Uganda elomunitos koCongo.,Ba esu azo nde ma azi esule 'ba Democratic Republic Congoa 'diyi ma rua ri Uganda ra
SALT-TEST-0014,test,Police was deployed at all border points.,Poliisi zaateekebwa ku nsalo zonna.,Poriisi eshukirwe aha nsharo zoona.,Kicwalo abili katic I wang lobo weng,Aponi koyangarai ipolisin oikoruon luka akwap.,Ba da Polisi yi pari boda mile ru 'diyi ma alia si dria ci
SALT-TEST-0015,test,She will be responsible for monitoring the purchase of that equipment.,Ajja kuvunaanyizibwa okulondoola engula y'ebintu.,Naija kuba aine obujunaazibwa bw'okureebuuza okugura ebyoma ebyo.,En ticce obi bedo neno kit ma kiwilo kede machine me tic,Nges ebuni aimaniman nu agwela iswamasia.,Eri nga mu e'yo 'bani afa ayuzaru 'da jezuri ma vuti obi ni
SALT-TEST-0016,test,Pregnant mothers should visit the hospital.,Bamaama abali embuto basaanidde okugendanga mu ddwaliro.,Abakazi abeine enda bashemereire kuza ahirwariro.,Mego ma oy ma myero olim ot...yat,Ibusakinit angor nuepotiet  alosi adekis.,Ayia okporovuru diyi ma aci aro joa
SALT-TEST-0017,test,The people of the community should receive essentials as promised by the government.,Abantu b'ekitundu balina okufuna ebyetaagisa nga gavumenti bwe yabasuubiza.,Abantu b'omukyaro bashemereire kutunga ebirikwetengwa nk'oku Gavumenti yaraganiise.,Lwak omyero gunong jami ma mite kit ma gamente ocike kwede,Ekot itunga aijaun iboro kwape esumunitor apugan.,Le 'ba ongulumu 'da ma alea 'diyi ma esu afa ndundu orodriru 'diyi engazu gamete vu ra
SALT-TEST-0018,test,He dug a deep hole.,Yasima ekinnya ekiwanvu.,Akatimba ekiina kiringwa.,En otongo bur matut adada.,Abu ngesi kobok apany naidulo noi.,Eri ga 'bile aliruni.
SALT-TEST-0019,test,The woman introduced her man to her parents.,Omukyala yayanjulidde bazadde be omwami.,Omukazi akanjura omushaija we omu bazaire be.,Lamego ni onyutu lapal cwinye bot lunyodo ne,Abu aberu itodia okilenike nejaas iuriak ke.,Oku 'da ji agupi 'da e'da i ma tipika eyini
SALT-TEST-0020,test,He took a burden off my shoulders.,Yantikudde omugugu.,Akihaho omugugu aha maju gangye.,Okwanyo ter ki igwoka,Abu ngesi kolema abwokon kotoma okeperika.,Du nziza ma  gbuadriari ra.
SALT-TEST-0021,test,The cloth is one meter wide.,Olugoye luweza mita emu obugazi.,Omwenda gwangye nigupima mita emwe omu buringwa.,Bongoni lacce tye mita acel.,Erai egoe lo emita ediope.,Bongo nderi ma wala mita alu ali'be
SALT-TEST-0022,test,Twenty million people will be saved from illnesses.,Abantu obukadde abiri bajja kutaasibwa endwadde.,Abantu miriyoni makumi abiri nibaija kutambirwa endwara.,Kibilaro kwo pa dano milyon pyer aryo ki I kom two.,Eponio ayuwar itunga imilionin akaisarei kotoma adumun adekasinei.,Ba milioni iri nga yi epa azo dria ri si.
SALT-TEST-0023,test,There has been an increase in the number of defilement and rape cases.,Wabaddewo okweyongerayongera mu bikolwa by'okukwata abakazi n'okukabasanyizibwa.,Habiireho okweyongyera omu mibare y'okutoroboza n'okuhamba.,Wel jo ma ki buto kwedgi tek-tek ki lutino ma kipyedogi omede malo adada.,Apolor enaba loka itunga luebuio aisiyol noi.,Kalafe 'ba elini cazu ku 'diyi obizu azini lazu okpo alia 'diyiniri turia
SALT-TEST-0024,test,Some war victims complained about the package that they received.,Abamu ku abo abakosebwa olutalo beemulugunya ku ebyo ebyabaweebwa.,Abateirwe orutaro bakeetomboitwa ahabwa akasiimo akua baahiirwe.,Jo mogo ma bal otimme I komgi I kare me lweny okok I kom jami magunongo.,Apotu icetunga lueticanit ejie kongurianata kanuka iboro luapotu kesi kodumutu.,Ba candi isu'ba a'di si 'diyi o'nyo afa 'bani fele yi dri ri ma dria ci
SALT-TEST-0025,test,Developmental ideas lead to economic growth.,Ebirowoozo ebizimba bireeta enkulaakulana mu by'enfuna.,Ebiteiso by'entunguuka nibyongyera entaasya.,Tam me dongo lobo kelo dongo pa biacara,Aomisio nu edukete kes eyangaunete apolo.,Egata angu ezoma ni 'diyi fe geri robia esuzu 'diyini zozu.
SALT-TEST-0026,test,The fear of God is the beginning of wisdom.,Mu kutaya Katonda amagezi mwe gatandikira.,Okutiina Ruhanga nibwo butandikiro bw'obwengye.,Lworo Lubanga aye acaki me ngec.,Ayongit Edeke ngesi ageunet naka acoa.,Ruta Munguniri eri ondua ma e'dozani.
SALT-TEST-0027,test,The decision was made in October one thousand nine hundred eighty-nine.,Okusalawo kwakolebwa mu Gwekkumi lukumi mu lwenda kinaana mu mwenda.,"Okucwamu oku akakukora Okwaikumi, rukumi rwenda kinaana na gumwe.",Tam man kimoko I dwe me apar me mwaka alipa acel miya abungwen ki pyer aboro wiye abungwen,Aponi kitolomunai aseunet ngin Olap Loitomonet ekaru elukumit ediope akwatakanyaongon akaisakanyauni ikanyaongon.,Ba 'du andra e'yo 'diri mba mudri alifu alu turu oromi kali aro drini oromi si
